city,admin_name,country
Tokyo,Tōkyō,Japan
Jakarta,Jakarta,Indonesia
Delhi,Delhi,India
Guangzhou,Guangdong,China
Mumbai,Mahārāshtra,India
Manila,Manila,Philippines
Shanghai,Shanghai,China
São Paulo,São Paulo,Brazil
Seoul,Seoul,South Korea
Mexico City,Ciudad de México,Mexico
Cairo,Al Qāhirah,Egypt
New York,New York,United States
Dhaka,Dhaka,Bangladesh
Beijing,Beijing,China
Kolkāta,West Bengal,India
Bangkok,Krung Thep Maha Nakhon,Thailand
Shenzhen,Guangdong,China
Moscow,Moskva,Russia
Buenos Aires,"Buenos Aires, Ciudad Autónoma de",Argentina
Lagos,Lagos,Nigeria
Istanbul,İstanbul,Turkey
Karachi,Sindh,Pakistan
Bangalore,Karnātaka,India
Ho Chi Minh City,Hồ Chí Minh,Vietnam
Ōsaka,Ōsaka,Japan
Chengdu,Sichuan,China
Tehran,Tehrān,Iran
Kinshasa,Kinshasa,Congo (Kinshasa)
Rio de Janeiro,Rio de Janeiro,Brazil
Chennai,Tamil Nādu,India
Xi’an,Shaanxi,China
Lahore,Punjab,Pakistan
Chongqing,Chongqing,China
Los Angeles,California,United States
Baoding,Hebei,China
London,"London, City of",United Kingdom
Paris,Île-de-France,France
Linyi,Shandong,China
Dongguan,Guangdong,China
Hyderābād,Telangāna,India
Tianjin,Tianjin,China
Lima,Lima,Peru
Wuhan,Hubei,China
Nanyang,Henan,China
Hangzhou,Zhejiang,China
Foshan,Guangdong,China
Nagoya,Aichi,Japan
Taipei,Taipei,Taiwan
Tongshan,Jiangsu,China
Luanda,Luanda,Angola
Zhoukou,Henan,China
Ganzhou,Jiangxi,China
Kuala Lumpur,Kuala Lumpur,Malaysia
Heze,Shandong,China
Quanzhou,Fujian,China
Chicago,Illinois,United States
Nanjing,Jiangsu,China
Jining,Shandong,China
Hanoi,Hà Nội,Vietnam
Pune,Mahārāshtra,India
Fuyang,Anhui,China
Ahmedabad,Gujarāt,India
Johannesburg,Gauteng,South Africa
Bogotá,Bogotá,Colombia
Dar es Salaam,Dar es Salaam,Tanzania
Shenyang,Liaoning,China
Khartoum,Khartoum,Sudan
Shangqiu,Henan,China
Cangzhou,Hebei,China
Hong Kong,,Hong Kong
Shaoyang,Hunan,China
Zhanjiang,Guangdong,China
Yancheng,Jiangsu,China
Hengyang,Hunan,China
Riyadh,Ar Riyāḑ,Saudi Arabia
Zhumadian,Henan,China
Santiago,Región Metropolitana,Chile
Xingtai,Hebei,China
Chattogram,Chattogram,Bangladesh
Bijie,Guizhou,China
Shangrao,Jiangxi,China
Zunyi,Guizhou,China
Sūrat,Gujarāt,India
Surabaya,Jawa Timur,Indonesia
Huanggang,Hubei,China
Maoming,Guangdong,China
Nanchong,Sichuan,China
Xinyang,Henan,China
Madrid,Madrid,Spain
Baghdad,Baghdād,Iraq
Qujing,Yunnan,China
Jieyang,Guangdong,China
Singapore,,Singapore
Prayagraj,Uttar Pradesh,India
Liaocheng,Shandong,China
Dalian,Liaoning,China
Yulin,Guangxi,China
Changde,Hunan,China
Qingdao,Shandong,China
Douala,Littoral,Cameroon
Miami,Florida,United States
Nangandao,Henan,China
Pudong,Shanghai,China
Xiangyang,Hubei,China
Dallas,Texas,United States
Houston,Texas,United States
Zhengzhou,Henan,China
Lu’an,Anhui,China
Dezhou,Shandong,China
Jinan,Shandong,China
Giza,Al Jīzah,Egypt
Zhaotong,Yunnan,China
Yichun,Jiangxi,China
Nairobi,Nairobi City,Kenya
Guadalajara,Jalisco,Mexico
Philadelphia,Pennsylvania,United States
Ankara,Ankara,Turkey
Tai’an,Shandong,China
Dazhou,Sichuan,China
Langfang,Hebei,China
Yongzhou,Hunan,China
Toronto,Ontario,Canada
Suihua,Heilongjiang,China
Saint Petersburg,Sankt-Peterburg,Russia
Qiqihar,Heilongjiang,China
Suzhou,Anhui,China
Monterrey,Nuevo León,Mexico
Belo Horizonte,Minas Gerais,Brazil
Weinan,Shaanxi,China
Rangoon,Yangon,Myanmar
Zhangzhou,Fujian,China
Yuncheng,Shanxi,China
Xianyang,Shaanxi,China
Guilin,Guangxi,China
Atlanta,Georgia,United States
Taizhou,Jiangsu,China
Kāshān,Eşfahān,Iran
Bozhou,Anhui,China
Abidjan,Abidjan,Côte d'Ivoire
Suqian,Jiangsu,China
Huaihua,Hunan,China
Ji’an,Jiangxi,China
Xiaoganzhan,Hubei,China
Pingdingshan,Henan,China
Jiujiang,Jiangxi,China
Alexandria,Al Iskandarīyah,Egypt
Mianyang,Sichuan,China
Sydney,New South Wales,Australia
Huanglongsi,Henan,China
Washington,District of Columbia,United States
Barcelona,Catalonia,Spain
Changsha,Hunan,China
Chenzhou,Hunan,China
Anqing,Anhui,China
Jiangmen,Guangdong,China
Xinpu,Jiangsu,China
Yibin,Sichuan,China
Yangzhou,Jiangsu,China
Melbourne,Victoria,Australia
Berlin,Berlin,Germany
Hengshui,Hebei,China
Timbío,Cauca,Colombia
Kunming,Yunnan,China
Yiyang,Hunan,China
Guigang,Guangxi,China
Changchun,Jilin,China
Jiangguanchi,Henan,China
Casablanca,Casablanca-Settat,Morocco
Meizhou,Guangdong,China
Zhangjiakou,Hebei,China
Chifeng,Inner Mongolia,China
Ürümqi,Xinjiang,China
Suzhou,Jiangsu,China
İzmir,İzmir,Turkey
Linfen,Shanxi,China
Shantou,Guangdong,China
Kabul,Kābul,Afghanistan
Mogadishu,Banaadir,Somalia
Luzhou,Sichuan,China
Hefei,Anhui,China
Boston,Massachusetts,United States
Liuzhou,Guangxi,China
Zhaoqing,Guangdong,China
Xiaoxita,Hubei,China
Shijiazhuang,Hebei,China
Ningbo,Zhejiang,China
Fuzhou,Jiangxi,China
Phoenix,Arizona,United States
Zhuzhou,Hunan,China
Amman,Al ‘Āşimah,Jordan
Chuzhou,Anhui,China
Jeddah,Makkah al Mukarramah,Saudi Arabia
Qingyuan,Guangdong,China
Loudi,Hunan,China
Binzhou,Shandong,China
Deyang,Sichuan,China
Taiyuan,Shanxi,China
Kano,Kano,Nigeria
Wuhu,Anhui,China
Nanning,Guangxi,China
Harbin,Heilongjiang,China
Abuja,Federal Capital Territory,Nigeria
Yokohama,Kanagawa,Japan
Baojishi,Shaanxi,China
Zaozhuang,Shandong,China
Xiamen,Fujian,China
Neijiang,Sichuan,China
Fuzhou,Fujian,China
Baicheng,Guangxi,China
Anshan,Liaoning,China
Medan,Sumatera Utara,Indonesia
Yulinshi,Shaanxi,China
Wenzhou,Zhejiang,China
Changzhou,Jiangsu,China
Puyang,Henan,China
Jiaozuo,Henan,China
Nanchang,Jiangxi,China
Ibadan,Oyo,Nigeria
Hechi,Guangxi,China
Detroit,Michigan,United States
Montréal,Quebec,Canada
Busan,Busan,South Korea
Hohhot,Inner Mongolia,China
Seattle,Washington,United States
Algiers,Alger,Algeria
Hanzhong,Shaanxi,China
Tangshan,Hebei,China
Shiyan,Hubei,China
Lucknow,Uttar Pradesh,India
Siping,Jilin,China
Mashhad,Khorāsān-e Raẕavī,Iran
Boankra,Ashanti,Ghana
Changzhi,Shanxi,China
Dubai,Dubayy,United Arab Emirates
Qinzhou,Guangxi,China
Guiyang,Guizhou,China
Bengbu,Anhui,China
San Francisco,California,United States
Bazhou,Sichuan,China
Qincheng,Gansu,China
Suining,Sichuan,China
Wuxi,Jiangsu,China
Leshan,Sichuan,China
Putian,Fujian,China
Zhenjiang,Jiangsu,China
Faisalabad,Punjab,Pakistan
Guang’an,Sichuan,China
Tongren,Guizhou,China
Santa Cruz,Santa Cruz,Bolivia
Qinhuangdao,Hebei,China
Tongliao,Inner Mongolia,China
Jinzhou,Liaoning,China
Heyuan,Guangdong,China
San Diego,California,United States
Jaipur,Rājasthān,India
Xinzhou,Shanxi,China
Lanzhou,Gansu,China
Wuzhou,Guangxi,China
Athens,Attikí,Greece
Addis Ababa,Ādīs Ābeba,Ethiopia
Chaoyang,Liaoning,China
Brasília,Distrito Federal,Brazil
Taichung,Taichung,Taiwan
Kuwait City,Al ‘Āşimah,Kuwait
Budapest,Budapest,Hungary
Shaoguan,Guangdong,China
Shanwei,Guangdong,China
Quezon City,Quezon,Philippines
Rizhao,Shandong,China
Kyiv,"Kyiv, Misto",Ukraine
Sanaa,Amānat al ‘Āşimah,Yemen
Meishan,Sichuan,China
Incheon,Incheon,South Korea
Guatemala City,Guatemala,Guatemala
Birmingham,Birmingham,United Kingdom
Zhongshan,Guangdong,China
Ningde,Fujian,China
Weihai,Shandong,China
Daqing,Heilongjiang,China
Bursa,Bursa,Turkey
Salvador,Bahia,Brazil
Rome,Lazio,Italy
Haikou,Hainan,China
La Paz,La Paz,Bolivia
Xiangtan,Hunan,China
Pyongyang,P’yŏngyang,North Korea
Minneapolis,Minnesota,United States
Omdurman,Khartoum,Sudan
Malang,Jawa Timur,Indonesia
Mudanjiang,Heilongjiang,China
Stuttgart,Baden-Württemberg,Germany
Brooklyn,New York,United States
Kaohsiung,Kaohsiung,Taiwan
Guayaquil,Guayas,Ecuador
Lisbon,Lisboa,Portugal
Longyan,Fujian,China
Tieling,Liaoning,China
Manchester,Manchester,United Kingdom
Baotou,Inner Mongolia,China
Handan,Hebei,China
Cawnpore,Uttar Pradesh,India
Dingxi,Gansu,China
Nanping,Fujian,China
Tampa,Florida,United States
Zigong,Sichuan,China
Maracaibo,Zulia,Venezuela
Chaozhou,Guangdong,China
Mbuji-Mayi,Kasaï Oriental,Congo (Kinshasa)
Denver,Colorado,United States
Gulou,Fujian,China
Weifang,Shandong,China
Huai’an,Jiangsu,China
Zibo,Shandong,China
Ankang,Shaanxi,China
Baoshan,Yunnan,China
Antananarivo,Antananarivo,Madagascar
Huludao,Liaoning,China
Munich,Bavaria,Germany
Yanjiang,Sichuan,China
Santo Domingo,Ozama,Dominican Republic
Sanming,Fujian,China
Tashkent,Toshkent,Uzbekistan
Longba,Gansu,China
Yangjiang,Guangdong,China
Jiamusi,Heilongjiang,China
Luohe,Henan,China
Lincang,Yunnan,China
Medellín,Antioquia,Colombia
Xuanzhou,Anhui,China
Yunfu,Guangdong,China
Shaoxing,Zhejiang,China
Yantai,Shandong,China
Huizhou,Guangdong,China
Lishui,Zhejiang,China
Mirzāpur,Uttar Pradesh,India
Hamburg,Hamburg,Germany
Guangyuan,Sichuan,China
Cali,Valle del Cauca,Colombia
Lusaka,Lusaka,Zambia
Huangshi,Hubei,China
Xining,Qinghai,China
Ouagadougou,Centre,Burkina Faso
